Line No,OASIS Pool 4 Contractor Name,OASIS Pool 4 Contract Number,DUNS NUMBER,FSS CONRACT NUMBER (FORMAL CONTRACT NUMBER),COCM,COCM Phone No,COCM e-mail,COPM,COPM Phone No,COPM e-mail
22,"Leidos, Inc.",GS00Q14OADU420,X54781240,GS-04F-0361Z,Sandra L. Reid,202-386-1703,OASISCOCM@Leidos.com,Joseph A. Pastel,571-526-7087,OASISCOPM@Leidos.com
23,"Lockheed Martin Integrated Systems, Inc.",GS00Q14OADU421,836196972,GS-04F-0360Z,Deirdre T. Johnson,301-306-8043,oasis-pmo.gr-isgs@lmco.com,Jeffrey Chesko,301-640-2433,oasis-pmo.gr-isgs@lmco.com
24,"ManTech Advanced Systems International, Inc.",GS00Q14OADU422,139627525,GS-04F-0362Z,Jeromy Block,703-633-2458,oasis@mantech.com,Paula Bayliss,703-633-2458,oasis@mantech.com
25,"Noblis, Inc.",GS00Q14OADU423,932902364,GS-04F-0364Z,German Lopez,703-610-2561,German.lopez@noblis.org,Mark Lay,703-610-2680,Mark.lay@noblis.org
26,Northrop Grumman Systems Corporation,GS00Q14OADU424,X15247885,GS-04F-0365Z,Linda R. Baverly,703-556-1632,ContractOASIS@ngc.com,Susan M. Bethke,703-556-1631,susan.bethke@ngc.com
27,"Parsons Government Services, Inc",GS00Q14OADU425,XX6908511,GS-04F-0366Z,Tondra Fry,626-440-4158,OASIS-CO@Parsons.com,Barry Adams,310-727-0950 x 128,OASIS-PM@Parsons.com
28,"QinetiQ North America, Inc.",GS00Q14OADU426,613194799,GS-04F-0357Z,Geoffrey Vance,619-321-6173,Geoffrey.vance@QinetiQ-NA.com,John Gregorits,571-521-7744,John.Gregorits@QinetiQ-NA.com
29,Raytheon Company,GS00Q14OADU427,X53387429,GS-04F-0367Z,Robin A. Klonarides,571-250-1082,GSA_OASIS@raytheon.com,Raymond Moehler,571-250-1090,GSA_OASIS@raytheon.com
30,Science Applications International Corporation,GS00Q14OADU428,X78883327,GS-04F-0368Z,Gregory Parrington,703-676-6902,gregory.parrington@saic.com,Belinda B. Pellegrino,703-676-8719,Belinda.B.Pellegrino@saic.com
31,Scientific Research Corporation,GS00Q14OADU429,197138274,GS-04F-0369Z,Jerry Goldbaugh,770-989-9408,jgoldbau@scires.com,Jeff Bringslid,801-821-7466,jbringslid@scires.com
32,"Serco, Inc.",GS00Q14OADU430,928859149,GS-04F-0370Z,Patrick Haar,719-235-4357,OASIS@Serco-NA.com,Michael Lanier,703-939-6648,OASIS@Serco-NA.com
33,"SGT, Inc.",GS00Q14OADU431,878901396,GS-04F-0371Z,Julie Smith,301-486-3178,OASIS@sgt-inc.com,Douglas Hayes,301-313-3503,OASIS@sgt-inc.com
34,Southwest Research Institute,GS00Q14OADU432,XX7936842,GS-04F-0372Z,Troy Nagy,210-522-2230,OASIS@swri.org,Janice Dean,210-522-5180,OASIS@swri.org
35,"SRA International, Inc.",GS00Q14OADU433,X97779698,GS-04F-0373Z,Mark J. McNeely,703-227-8209,OASIS@sra.com,Ann Hogan,703-227-8355,OASIS@sra.com
36,SRI International,GS00Q14OADU434,XX9232752,GS-04F-0374Z,Brandon Gravett,609-734-2285,Brandon.Gravett@sri.com,Dave Scott,703-310-1251,David.Scott@sri.com
37,"TASC, Inc.",GS00Q14OADU435,X69341972,GS-04F-0375Z,Tiffany N. Faircloth,703-653-5706,Tiffany.faircloth@tasc.com,Robert Dallen,703-653-5706,Robert.dallen@tasc.com
38,"Tetra Tech, Inc.",GS00Q14OADU436,X45224250,GS-04F-0376Z,Barbara Peterson,626-470-2407,OASIS@tetratech.com,"William R. Brownlie, PhD, PE",626-470-2302,bill.brownlie@tetratech.com
39,"The SI Organization, Inc.",GS00Q14OADU437,965519098,GS-04F-0378Z,Zachary O. McCready,703-489-2964,zach.o.mccready@thesiorg.com,Stephen Falatko,571-313-6276,stephen.falatko@thesiorg.com
40,Unisys Corporation,GS00Q14OADU438,150780674,GS-04F-0379Z,Anne Pope,770-887-9872,OASIS@unisys.com,Erik TerHaar,703-439-5437,OASIS@unisys.com
41,"URS Federal Services, Inc.",GS00Q14OADU439,961530545,GS-04F-0380Z,Kyle Renehan,301-944-3224,FS.OASIS.COCM@URS.COM,James Daly,732-259-0795,FS.OASIS.COPM@URS.COM
42,"Wyle Laboratories, Inc.",GS00Q14OADU440,X41024415,GS-04F-0381Z,Tina Norris,301-863-4415,oasis@wyle.com,Stephan Nadeau,781-771-0787,oasis@wyle.com
