OASIS Pool 1 Contractor Name,OASIS Pool 1 Contract Number,DUNS Number,COCM Name,COCM Phone,COCM Email,COPM Name,COPM Phone,COPM Email,8(a),HUBZone,SDVOSB,WOSB
"Credence Management Solutions, LLC",GS00Q14OADS315,805875718,John Stapleford,757-561-4003,contracts@credence-llc.com,Leigh Boyle,757-303-5104,OASIS@credence-llc.com,√,,,
"DDL OMNI Engineering, LLC",GS00Q14OADS316,081093775,Theodore (Ted) J. Thanos,703 918-4336,OASIS@ddlomni.com,Robert (Bob) W. Fritz,703 918-4323,OASIS@ddlomni.com,,,,
"DRT Strategies, Inc.",GS00Q14OADS317,142428783,Geoffrey McDermott,571-482-2502,gmcdermott@drtstrategies.com,Mike Duffy,571-482-2510,mduffy@drtstrategies.com,√,,,√
Forward Slope Incorporated,GS00Q14OADS318,038344953,John McClean,619-780-0158,jmcclean@forwardslope.com,Nathan Johnson,619-780-0167,njohnson@forwardslope.com,,,,
"Futron, Inc.",GS00Q14OADS344,878896687,June Adams,571-402-3211,OASISSB@futroninc.com,Shakil Qureshi,571-402-3202,OASISSB@futroninc.com,,,,
"Gemini Industries, Inc. dba GEMINI",GS00Q14OADS319,197503212,Sal Malgari,781-203-0100 x 104,OASIS@gemini-ind.com,Vincent Maconi,781-203-0100 x 204,OASIS@gemini-ind.com,,,,
"KeyLogic Systems, Inc.",GS00Q14OADS320,054303180,Michele Smith,443-539-9062,msmith@keylogic.com,Glenn Copen,443-539-9051,gcopen@keylogic.com,,,,
"Ki Ho Military Acquisition Consulting, Inc. dba KIHOMAC",GS00Q14OADS321,137768482,Clare Biscardi,937-429-7744 x 115,OASIS@kihomac.com,Scot Merrihew,801-593-7088 x 121,OASIS@kihomac.com,√,,,
"KT Consulting, Inc.",GS00Q14OADS322,089072826,Kevin Terrell,480-538-2668,kterrell@ktc-inc.com,Kevin Terrell,480-538-2668,kterrell@ktc-inc.com,,,√,
"Leader Communications, Inc.",GS00Q14OADS323,046657412,Vicky Hilton,405-622-2200,contract.administration@lcibest.com,Diana Petross,405-622-2200 x 106,OASISPMO@lcibest.com ,,,√,
"Management and Engineering Technologies International, Inc. dba METI",GS00Q14OADS324,074334264,Michelle Rosalez,915-772-4975,contracts@meticorp.com,Ernest Osborn,937-256-9464,bd@meticorp.com,,,,
NikSoft Systems Corporation,GS00Q14OADS326,071215037,Adesh Jain,703-435-2260 x 206,OASIS@niksoft.com,Manesh Gupta,703-435-2260 ,OASIS@niksoft.com,√,,,
"ORBIS Sibro, Inc., dba ORBIS",GS00Q14OADS343,872942706,Karl P. Farber,843-971-9390 x 226,OASISSB@orbisinc.net,Charles Grabenstein,202-548-3110 x 346,OASISSB@orbisinc.net,,,,
"PCCI, Inc.",GS00Q14OADS327,016658080,Bob Urban,703-229-1102,burban@pccii.com,Thomas Hudon,703-229-1110,thudon@pccii.com,,,,
Peerless Technologies Corporation,GS00Q14OADS328,132729877,Chrissy Hardin,937-490-5006,OASIS-Contracts@epeerless.com,Julie Jones,937-490-5012,OASIS-Contracts@epeerless.com,√,,,
"QuantiTech, Inc.",GS00Q14OADS329,618564116,Teresa Roberson,256-799-0669,OASISSB@quantitech.com,Darryl Wortman,256-799-0654,OASISSB@quantitech.com,,,,√
"Resource Management Concepts, Inc., dba RMC",GS00Q14OADS330,807512934,Matthew Vodzak,301-862-7501,mvodzak@rmcweb.com,Kevin Cooley,301-862-7501,kcooley@rmcweb.com,,,,
"Sawdey Solution Services, Inc.",GS00Q14OADS331,020345075,Connie Sawdey,937-490-4060,OASIS@sawdeysolutionservices.com,Beth Czanik,937-490-4060,OASIS@sawdeysolutionservices.com,,,√,√
Skylla Engineering Ltd.,GS00Q14OADS332,169401895,Eduardo (Ed) Cardenas,281-787-7643,cardenase@skyllaeng.com,Charles (Chuck) Muizers,832-474-0026,muizersc@skyllaeng.com,√,,√,
"Southeastern Computer Consultants, Inc., SCCI",GS00Q14OADS333,074418872,Shellie Bowles,301-695-5311,OASIS@teamscci.com,Kent Ek,512-600-9437,OASIS@teamscci.com,,,,
"Subsystem Technologies, Inc.",GS00Q14OADS334,185057460,Tyrone Sydnor,703-504-9760,OASIS@subsystem.com,Dawn Winters,703-504-9786,tiveson@subsystem.com,,,,
"Sumaria Systems, Inc.",GS00Q14OADS335,146389622,Carol Maus,937-429-6070 x 118,OASIS-SB@sumaria.com,Donald Kurtz,937-429-6070 x 106,OASIS-SB@sumaria.com,,,,
"Support Systems Associates, Inc.",GS00Q14OADS336,068013796,John B. Hamilton,321-724-5566 x 1297,jhamilton@ssai.org,Mike Reynolds,478-922-9987,mreynolds@ssai.org,,,,
"Synectic Solutions, Inc., dba SSI",GS00Q14OADS337,015958325,Earnie Leonard, 805-483-4800 x 101,OASISSB@synecticsolutions.com,Lynn M. Dines,805-483-4800 x 121,ldines@synecsolu.com,,,,√
"Tele-Consultants, Inc.",GS00Q14OADS338,170883883,Deborah Wesley,757-620-9918,tcicontracts@teleinc.com,Curt Renshaw,404-791-6783,crenshaw@teleinc.com,,,,
"Vector CSP, LLC",GS00Q14OADS340,110994303,Jane Ann Hejmanowski,252-338-2264,OASISSB@vectorcsp.com,Bob Burnett,410-768-5494,OASISSB@vectorcsp.com,,,,
"X Technologies, Inc.",GS00Q14OADS341,044271547,Kay Zdon,210-822-8712 x 6013,OASISSB-XTI@x-technologies.com  ,Robert Trevino,210-822-8712 x 6028,OASISSB-XTI@x-technologies.com  ,,,,
"Zel Technologies, LLC",GS00Q14OADS342,825732993,Susan Hughes,757-325-1331,OASIS@zeltech.com,Kenneth Sherwood,757-325-1396,OASIS@zeltech.com,,,,
